age,gender,nationality,education_level,field_of_study,university_tier,years_of_experience,relevant_experience_years,current_salary,num_previous_jobs,skill_match_score,num_certifications,has_leadership_experience,interview_score,distance_from_office,job_role_applied,application_source,hired
48,1,4,0,2,1,20.95,21.96,143625.67,3,1.0,0,0,74.4,36.05,4,2,1
23,1,2,0,0,0,3.14,5.14,117033.41,3,0.944,2,1,89.6,159.69,3,1,0
29,0,0,0,3,1,8.31,6.77,76537.06,2,0.429,4,1,96.4,63.42,7,0,0
35,0,1,0,2,0,8.39,6.72,130944.42,1,0.785,2,0,97.2,60.78,9,2,1
31,1,1,0,4,1,13.11,12.31,202992.77,3,0.67,1,1,55.3,56.19,9,1,0
24,1,5,0,4,1,5.24,5.89,104323.24,4,0.712,3,1,92.1,78.37,9,2,0
40,1,1,2,4,3,9.5,9.02,161265.99,3,0.939,2,1,67.8,190.97,2,1,1
50,0,5,0,0,0,11.91,10.79,111179.52,6,0.521,0,0,83.6,22.76,7,2,0
33,0,4,0,1,1,17.21,16.17,116360.51,3,0.943,0,0,76.1,39.57,9,1,0
24,0,0,0,3,0,10.91,10.15,133208.25,7,0.972,1,0,66.5,31.27,3,0,0
21,1,1,2,2,1,9.15,9.06,147593.02,4,0.528,0,0,69.5,229.5,9,2,0
34,1,4,1,3,1,6.48,5.56,64536.11,2,0.794,1,0,83.2,46.45,9,1,0
40,1,5,0,3,3,18.99,19.52,129257.36,6,1.0,3,0,79.9,38.51,9,1,0
35,1,5,0,3,0,27.38,25.61,188070.55,3,1.0,2,1,78.9,118.28,3,4,1
31,1,1,2,3,1,4.69,6.19,117950.8,7,1.0,3,0,80.0,62.55,9,1,1
27,1,5,0,2,2,23.36,20.32,152737.37,4,1.0,2,1,81.2,155.82,2,2,0
23,0,4,0,2,2,4.57,5.57,101754.61,4,1.0,1,0,90.4,26.17,2,2,0
38,1,3,0,1,2,10.44,10.74,127402.87,5,0.901,2,1,71.6,52.68,9,2,1
39,0,4,2,2,1,9.83,11.83,110398.84,3,1.0,2,0,64.5,107.16,3,1,1
21,1,4,1,2,1,7.75,6.81,85363.38,2,0.78,0,0,81.9,28.52,9,2,0
44,0,2,2,3,3,11.81,10.52,105100.63,3,0.508,1,0,60.4,90.01,7,1,0
36,2,4,1,2,2,7.89,7.81,84659.01,2,0.561,2,0,71.2,84.85,2,2,0
43,0,4,1,4,1,13.8,16.42,113575.66,6,0.98,2,1,77.5,84.39,1,1,0
21,0,1,1,1,1,6.53,5.08,70475.16,2,0.584,1,0,75.8,32.62,9,0,0
21,0,4,2,3,0,3.75,3.76,92232.88,1,0.647,0,0,71.4,29.08,9,0,0
30,0,3,0,2,1,2.55,1.66,60211.98,4,0.845,0,0,69.1,50.62,2,0,0
36,1,4,0,3,1,15.82,18.68,152585.79,3,0.969,4,0,80.2,65.97,0,4,0
46,0,0,2,1,0,15.13,14.46,175943.21,4,0.512,2,0,59.4,104.87,3,1,0
37,0,4,0,4,1,7.05,6.61,109330.42,1,0.624,1,0,85.4,93.44,7,3,0
30,2,1,0,3,0,4.15,5.52,160474.37,5,0.616,5,1,95.6,7.4,0,2,0
23,1,4,0,1,0,3.95,4.0,93806.72,2,0.907,2,0,88.4,91.36,7,3,1
41,1,3,2,2,1,10.95,9.11,101342.66,6,1.0,2,0,76.8,41.65,5,2,0
24,0,4,2,1,3,9.12,8.54,106725.17,4,0.837,2,0,89.9,57.55,2,2,0
45,0,1,2,2,2,9.56,11.06,107726.61,3,0.672,0,1,95.6,215.91,9,0,0
29,1,4,1,2,1,12.4,11.69,122997.37,2,0.662,2,0,79.5,139.61,9,4,0
44,1,0,0,3,1,10.14,9.08,85707.78,3,1.0,2,0,96.6,28.23,9,2,0
37,1,4,0,2,1,13.67,14.57,201507.39,4,1.0,3,1,81.8,127.79,9,0,1
30,1,2,0,1,2,4.12,1.65,127389.18,1,0.605,2,1,83.8,51.2,2,0,0
27,1,4,0,4,0,4.34,6.58,94060.0,1,1.0,2,1,75.8,54.19,1,0,0
29,1,4,2,3,3,10.36,8.97,119146.99,2,1.0,1,0,98.0,90.63,7,1,0
35,0,4,1,3,2,10.05,7.7,92392.39,4,1.0,4,0,64.3,40.73,9,1,0
32,1,4,2,2,3,16.12,14.77,170349.39,5,1.0,3,1,74.8,78.19,1,1,1
27,1,1,0,3,1,19.84,19.84,220000.0,3,0.766,4,0,75.0,29.62,5,4,0
30,0,5,2,3,2,7.58,5.83,116459.11,3,0.856,2,0,98.0,105.8,7,1,1
32,0,4,0,3,1,3.82,4.05,126321.38,6,0.767,3,1,90.3,47.74,9,0,0
21,2,1,0,1,0,9.19,12.01,156620.65,3,1.0,4,1,70.6,43.23,0,1,1
35,1,1,0,1,2,4.92,4.81,86215.06,3,0.947,1,0,91.6,52.58,3,1,0
24,0,4,3,2,1,14.93,12.93,123396.91,7,0.922,0,1,84.7,54.27,2,1,1
22,1,4,3,1,1,11.12,12.25,161081.44,1,1.0,4,0,89.1,53.67,1,2,1
21,0,0,0,4,1,4.27,5.76,105410.52,3,0.809,2,0,83.8,31.11,9,2,0
21,0,4,0,2,1,13.02,13.77,165638.09,3,1.0,1,0,98.0,102.74,2,1,1
21,1,2,0,3,2,3.32,1.61,98678.57,1,0.609,2,1,88.6,82.5,2,2,0
26,1,4,0,1,2,11.19,9.78,93297.35,3,0.48,2,0,77.9,40.99,2,2,0
47,1,1,2,1,2,10.77,9.85,120968.78,9,1.0,1,0,82.3,94.45,9,2,0
27,0,1,0,3,3,17.43,19.17,130453.84,3,0.79,0,1,80.3,35.98,3,1,0
33,1,4,0,0,1,15.94,15.42,157245.59,3,0.335,1,0,80.2,98.79,5,2,0
35,0,4,2,3,1,13.32,13.72,125254.21,4,1.0,5,0,90.9,162.46,8,4,1
33,1,4,0,3,1,18.1,19.78,220000.0,2,1.0,2,0,92.3,147.63,3,1,1
31,1,4,2,1,0,4.37,3.93,134194.09,4,0.84,7,0,83.9,148.89,9,0,0
22,2,2,0,4,2,12.26,14.14,125090.89,4,0.418,5,0,69.0,155.68,1,2,0
43,0,4,2,0,1,14.68,15.96,177457.69,4,0.684,3,0,85.9,8.04,1,1,1
46,0,2,0,4,1,11.55,11.23,98342.47,2,1.0,1,0,92.5,197.93,5,1,0
21,1,4,0,2,2,5.68,6.78,93984.24,4,0.284,2,0,84.6,174.44,8,0,0
23,1,0,3,2,2,6.34,7.5,89345.08,2,0.779,3,0,81.2,67.27,8,2,0
29,1,1,0,3,0,5.5,5.26,85862.91,4,0.681,1,0,68.9,42.96,5,0,0
24,1,4,2,2,1,2.55,1.88,71686.82,2,0.755,2,0,91.1,31.59,9,2,1
36,1,5,2,1,2,6.23,8.3,111457.09,7,0.954,6,1,84.0,33.97,1,1,1
26,0,4,2,2,1,4.69,3.21,161815.68,5,0.674,4,0,95.3,121.76,6,1,0
49,1,3,0,3,3,10.18,9.79,171110.74,5,0.729,3,1,98.0,55.97,1,2,0
41,1,3,0,1,1,10.47,9.12,113586.88,6,0.266,1,0,75.1,80.73,5,2,0
33,1,4,2,3,1,4.67,4.94,70741.58,0,1.0,3,1,80.6,41.95,6,2,0
40,0,5,2,2,1,14.61,14.94,152504.18,5,0.984,1,0,83.1,89.18,9,0,0
40,0,0,2,4,0,16.71,14.09,152413.56,2,1.0,0,0,58.5,30.59,6,3,0
27,1,2,0,0,2,3.83,3.52,126654.76,6,0.673,1,0,76.2,188.06,9,2,0
25,1,5,2,1,2,4.31,5.44,143280.6,5,0.982,0,0,88.7,30.56,3,1,0
32,1,1,0,1,3,8.5,8.35,79577.09,3,0.638,1,1,98.0,129.5,7,1,0
38,0,4,2,3,2,13.53,11.56,94358.3,3,1.0,2,0,74.0,28.18,9,0,1
33,0,2,1,3,0,15.05,14.04,118242.7,10,0.603,1,0,78.8,114.07,3,1,0
21,0,1,0,2,1,3.73,3.56,116088.26,7,0.896,3,1,83.9,51.33,9,1,0
25,1,4,0,0,1,3.41,2.83,114126.36,3,0.503,4,0,74.4,24.88,7,1,0
31,1,1,2,3,2,10.07,8.34,111019.92,2,1.0,2,0,92.5,67.12,5,4,0
31,0,5,2,1,1,12.16,12.14,115000.36,4,1.0,2,0,81.3,173.63,7,0,1
47,2,4,3,3,1,13.9,13.75,186212.01,7,1.0,5,0,83.9,121.13,1,4,0
21,2,0,1,0,1,3.14,1.76,47641.12,4,0.789,1,0,98.0,124.38,5,4,0
36,0,1,0,2,1,10.81,10.91,106075.51,3,1.0,1,0,84.9,127.42,5,2,1
43,1,4,0,1,1,8.21,7.32,75390.11,2,0.67,3,0,72.3,80.42,3,2,0
50,0,0,1,0,2,14.05,13.83,104577.86,5,0.851,4,1,67.7,85.94,5,2,0
28,0,5,0,1,1,3.37,3.87,102694.45,4,0.518,2,0,96.5,92.16,5,0,0
35,0,4,0,1,1,5.28,3.7,100146.5,7,0.94,2,1,71.1,16.68,9,1,0
36,1,4,0,3,1,13.21,10.77,86099.62,1,0.82,3,0,79.8,130.25,5,0,0
33,1,1,0,3,2,16.01,16.55,131681.48,6,1.0,1,0,88.7,121.27,9,1,0
31,1,2,0,2,0,6.07,2.92,92728.61,5,0.821,1,0,63.5,111.48,2,2,0
35,1,4,2,2,1,16.55,16.48,127773.87,2,0.919,3,1,83.6,34.26,1,0,0
21,1,4,2,1,0,5.56,7.06,143898.21,1,0.862,3,0,84.8,114.62,9,1,1
37,0,3,2,4,1,13.97,13.62,133129.1,3,1.0,2,0,93.1,104.16,5,2,1
33,1,1,2,3,0,12.69,10.82,124490.38,3,0.756,1,1,69.2,89.61,8,3,1
30,1,4,0,1,2,7.03,4.62,78893.27,2,0.188,0,0,69.9,86.8,3,1,0
48,1,0,2,1,1,15.6,15.42,128361.35,3,0.744,2,0,73.6,24.35,8,3,0
26,1,5,2,4,2,5.56,4.33,83628.17,5,1.0,2,1,60.3,37.53,8,2,1
28,2,5,0,0,2,7.01,6.84,99187.27,3,0.857,0,0,96.7,195.81,2,0,0
47,1,4,2,1,1,15.91,15.09,220000.0,2,0.729,1,0,76.1,182.86,9,0,0
25,1,5,0,2,1,6.25,7.66,168571.36,3,0.82,4,1,86.7,65.89,1,2,0
27,0,2,1,3,2,9.14,10.64,132005.87,2,0.623,1,0,53.9,71.61,8,0,0
30,0,4,2,2,1,17.19,16.1,123907.72,4,1.0,2,1,67.5,41.3,6,0,0
38,1,3,2,4,1,11.24,7.47,133106.11,3,0.524,3,1,86.1,130.34,9,4,0
33,0,4,0,3,1,12.71,13.41,112450.63,5,1.0,3,0,67.7,21.08,3,0,1
21,0,3,0,3,1,3.85,5.4,92901.37,4,1.0,5,1,88.0,137.58,0,1,1
27,0,2,0,4,2,10.51,10.2,101971.52,2,1.0,3,0,88.4,24.05,3,0,0
27,1,2,0,0,0,7.78,7.66,150794.53,1,0.857,3,0,86.3,112.71,9,2,0
31,2,4,3,0,1,5.32,7.19,126401.52,3,0.902,3,0,80.4,58.06,1,0,1
35,1,3,2,2,1,3.8,2.04,159936.99,1,0.23,4,1,72.3,62.68,5,2,0
35,1,4,2,2,2,5.87,3.93,116289.13,6,0.582,4,1,87.7,64.89,6,3,0
21,1,5,0,2,1,7.67,8.24,130073.19,5,1.0,2,1,88.9,14.39,4,2,1
40,1,3,0,0,2,14.01,13.92,152565.77,2,0.93,1,0,93.3,29.86,2,1,1
34,0,4,0,3,1,14.21,14.29,204808.59,5,1.0,2,1,75.8,77.91,9,4,0
43,0,4,0,2,2,9.63,10.23,220000.0,1,0.85,0,1,98.0,50.09,8,4,0
35,1,3,1,1,0,8.85,9.78,101320.86,2,0.481,2,1,96.8,26.6,0,4,0
40,1,1,0,2,1,11.61,10.48,161943.05,4,1.0,3,0,75.8,29.18,7,0,0
35,1,2,0,3,2,9.27,8.33,87947.92,3,0.743,0,0,85.3,228.33,2,2,0
42,0,4,0,0,1,12.9,13.78,214915.77,6,0.896,1,0,78.0,35.47,9,4,1
36,0,3,1,1,2,11.02,12.22,115418.6,1,0.459,3,1,98.0,132.57,8,1,0
31,0,4,0,4,2,4.01,4.37,148906.84,4,0.973,1,0,82.3,42.9,3,2,0
50,0,1,2,3,1,21.08,24.58,220000.0,3,1.0,2,0,90.7,120.22,0,2,1
39,0,5,0,3,2,5.37,3.5,75178.88,4,0.817,0,1,80.7,11.07,5,2,0
36,0,3,2,2,1,19.06,18.54,143142.32,2,0.675,2,0,77.6,36.0,2,2,1
21,1,4,2,3,1,8.36,8.55,115770.55,8,0.691,0,0,71.0,34.45,7,4,0
21,0,5,2,4,0,2.71,4.71,99430.43,3,0.893,1,0,85.7,38.67,3,3,0
34,0,4,1,4,2,19.07,20.68,178230.94,5,0.71,2,0,76.7,70.26,0,2,0
33,0,2,0,4,1,11.99,11.26,106590.78,2,1.0,2,0,75.9,47.04,8,1,1
27,2,1,0,3,2,7.02,4.5,69458.64,2,0.487,3,1,70.2,76.94,2,0,0
33,0,4,3,1,0,6.1,6.44,139989.19,5,0.68,0,0,85.7,38.86,8,4,0
44,0,4,2,3,2,13.78,11.81,159105.62,4,0.745,1,1,86.7,68.66,9,3,0
37,0,4,0,3,2,6.93,6.95,81028.28,3,0.435,1,1,81.2,60.72,3,0,0
22,1,0,0,2,1,12.23,11.2,144037.89,3,0.768,0,1,83.1,107.51,2,1,1
31,1,0,0,2,2,5.71,3.14,124597.44,2,0.583,1,0,89.7,61.05,9,1,1
25,0,1,0,3,1,9.54,8.58,92587.15,5,0.445,2,1,98.0,100.24,9,3,0
28,1,4,2,2,1,3.46,2.66,104093.78,1,0.523,1,1,80.2,40.96,9,1,0
28,0,0,0,4,2,6.01,8.35,75359.79,4,1.0,3,0,88.8,102.89,0,0,1
28,0,1,0,0,3,4.79,7.3,83249.83,5,0.788,1,1,79.0,145.87,1,1,1
21,0,1,0,1,1,11.66,10.32,135671.2,1,0.74,1,1,81.1,49.02,2,1,0
30,2,1,1,2,1,5.82,5.54,90339.49,3,0.472,6,0,78.0,86.66,3,1,0
27,1,4,0,1,1,13.72,15.68,152746.22,1,0.85,2,0,69.4,35.05,0,1,0
21,0,1,0,1,2,20.06,19.1,206999.1,4,0.73,1,0,76.6,20.01,5,2,0
48,1,3,0,3,2,19.72,20.53,174308.33,2,0.753,2,1,82.6,22.53,2,2,0
40,1,1,2,1,0,11.95,11.23,104077.7,3,0.827,1,0,91.6,64.39,5,1,0
28,1,0,1,4,0,4.29,3.43,82051.76,3,0.597,2,1,95.6,27.51,3,2,0
32,0,4,0,0,2,5.19,4.41,62858.98,2,0.751,1,1,87.1,47.1,2,2,0
22,0,3,2,3,1,4.7,7.21,189785.07,3,0.839,1,1,89.7,113.5,1,4,0
45,0,4,0,2,0,11.12,10.23,88907.36,1,0.708,0,0,79.6,18.19,2,2,0
47,1,2,0,3,1,20.58,17.16,163253.68,3,1.0,1,0,81.4,29.91,2,1,1
33,1,4,0,4,2,8.16,4.41,103608.01,4,0.895,0,0,82.3,58.25,5,2,0
40,1,4,0,0,1,9.47,10.96,97505.04,7,0.837,2,0,60.7,90.91,3,4,0
33,1,2,0,2,2,13.95,15.1,114262.62,6,1.0,2,0,79.1,158.17,9,2,0
21,0,4,0,0,2,4.59,5.51,103721.03,7,0.417,1,0,89.8,29.66,3,2,0
28,1,3,0,2,0,8.35,8.14,113448.07,3,0.381,3,0,67.3,90.4,2,4,1
33,2,5,2,3,2,4.13,5.5,82212.94,6,0.693,3,0,62.3,117.54,1,1,0
28,2,1,0,0,2,4.89,8.39,142600.02,5,0.853,4,0,96.9,177.8,0,1,0
30,2,4,3,3,1,8.48,7.81,144286.67,3,0.893,6,0,98.0,60.83,9,2,0
31,1,4,2,3,3,9.57,10.25,85494.87,5,0.757,4,0,78.6,37.91,8,1,1
31,0,2,2,3,1,6.58,6.76,154918.86,4,0.896,5,1,95.2,86.97,3,3,0
32,1,4,2,3,1,5.3,6.76,78025.34,3,0.729,2,0,85.2,105.22,1,0,0
23,1,2,1,0,2,1.13,1.5,46799.39,5,0.341,3,0,68.7,68.81,9,2,0
26,1,2,0,0,1,7.05,9.01,124876.81,5,0.784,1,0,78.2,104.01,3,4,0
21,0,1,3,0,2,14.98,15.8,169606.57,3,0.928,2,1,84.3,5.18,3,1,0
39,1,2,1,3,1,14.75,15.86,133038.18,3,1.0,3,0,76.7,15.17,9,1,1
21,1,4,0,0,2,10.41,11.58,121917.73,3,1.0,0,0,69.0,14.53,9,2,0
41,1,1,1,2,0,9.87,10.57,100190.54,3,0.502,2,1,56.5,86.76,2,4,0
43,1,3,0,2,1,7.64,7.1,102782.83,4,0.74,2,0,83.5,9.91,9,0,0
29,1,4,0,3,2,9.77,10.77,113414.47,2,0.988,2,1,84.6,32.32,2,1,0
21,0,4,0,3,1,8.01,5.36,141652.79,5,0.649,1,0,75.0,67.64,5,4,0
29,0,3,2,2,2,6.98,7.43,111055.22,3,0.475,3,1,67.8,72.08,0,1,0
31,0,3,0,2,3,9.18,7.79,109935.19,3,0.866,3,0,76.3,17.54,1,0,0
23,0,1,2,1,0,3.94,3.87,88563.95,6,0.943,1,1,80.3,83.04,5,4,1
27,0,2,1,3,2,13.83,13.66,160783.48,5,0.51,2,0,81.6,22.7,9,2,0
44,1,1,0,2,0,16.5,17.72,185440.98,4,1.0,1,0,98.0,81.42,4,1,1
37,0,0,0,3,2,11.82,12.69,177077.74,5,1.0,0,1,98.0,114.13,9,1,0
24,0,2,2,3,2,4.28,5.48,83344.85,2,0.401,3,0,98.0,71.84,3,1,0
21,1,4,2,3,1,4.13,3.38,65740.05,3,0.41,1,0,76.6,86.39,4,0,0
29,0,1,0,4,1,15.76,13.9,152874.13,0,1.0,1,0,88.0,22.58,2,2,1
30,0,3,0,3,2,9.14,9.64,120467.25,2,0.81,0,0,97.3,102.95,9,4,1
35,0,0,2,4,2,15.48,15.21,155273.47,0,1.0,4,0,60.1,175.02,3,1,0
27,0,4,2,2,1,16.98,15.91,147517.94,6,1.0,1,1,77.1,67.78,9,3,1
36,1,1,0,2,1,6.64,7.57,86469.88,5,0.527,3,1,90.6,164.62,7,2,0
47,0,4,0,1,1,18.03,17.04,183724.55,3,0.774,4,0,73.9,74.02,6,4,0
38,1,4,2,0,2,12.2,9.85,116686.64,7,0.517,2,1,64.4,63.27,5,0,0
31,0,3,1,3,0,22.81,24.31,190655.88,2,1.0,3,0,75.5,31.96,9,2,1
30,0,4,0,3,2,11.02,12.15,111724.91,0,0.8,0,0,90.0,112.49,4,2,0
29,2,3,0,0,1,11.68,10.82,102804.28,7,0.843,2,1,98.0,60.56,7,2,0
41,1,0,2,4,2,13.6,13.36,129416.82,4,0.797,1,0,75.0,91.53,7,4,0
26,1,5,0,4,1,27.45,29.21,185632.1,2,0.949,4,0,71.5,101.09,1,0,1
32,1,4,2,1,3,6.35,5.03,86615.78,2,0.846,0,0,75.2,146.33,2,4,0
32,1,2,2,0,0,9.66,8.84,162324.04,4,0.728,1,1,98.0,134.45,2,0,0
27,0,5,0,0,1,7.06,9.06,88051.8,2,0.962,4,0,98.0,55.07,3,2,0
21,0,4,0,0,1,5.98,6.14,104579.49,4,0.998,2,0,63.1,231.98,8,2,0
34,0,1,3,4,1,5.06,6.06,87191.2,6,0.961,1,0,98.0,20.37,2,0,0
31,0,5,0,0,2,14.71,13.28,138346.99,3,0.971,0,1,70.3,19.16,5,1,0
36,1,4,0,1,2,10.66,11.44,133563.38,3,0.744,1,0,86.1,50.45,9,4,0
27,1,5,3,3,2,4.03,3.18,128642.93,6,1.0,1,1,98.0,39.76,9,1,1
41,1,1,2,3,3,9.09,11.09,105698.2,5,0.878,1,1,78.5,46.29,3,1,0
24,0,4,0,4,1,11.48,10.53,105563.64,4,1.0,1,1,91.4,68.9,6,1,1
45,0,1,0,3,3,10.82,10.59,103761.61,3,0.603,0,0,65.9,114.34,8,1,0
21,0,4,0,2,0,8.99,10.49,163773.98,0,0.746,0,0,98.0,79.24,9,4,0
35,1,4,2,3,2,9.45,8.48,105690.88,2,0.853,1,1,60.7,33.45,9,2,0
35,1,1,2,4,0,7.52,6.28,119363.94,6,0.826,1,0,55.1,47.21,9,2,0
25,0,1,0,0,1,6.4,5.86,86935.7,3,0.978,0,1,86.1,79.33,8,2,0
35,1,1,2,2,1,7.46,7.72,189145.02,2,0.758,4,0,78.3,110.65,2,4,0
42,0,4,2,2,2,12.11,13.11,107938.2,2,0.37,4,0,85.2,27.84,2,2,0
21,1,2,0,1,2,8.01,7.61,89631.2,2,0.697,6,0,84.0,98.33,6,2,1
36,1,1,2,3,1,4.65,6.03,126569.54,4,0.914,5,0,79.0,34.97,0,0,0
21,0,2,0,2,2,14.15,11.05,118854.05,5,1.0,1,1,87.3,41.83,6,4,1
24,1,2,2,4,2,18.0,17.2,128802.72,3,1.0,1,1,54.0,43.58,9,4,0
45,0,4,0,1,0,14.37,15.37,190181.41,5,1.0,2,1,81.2,3.79,7,3,1
27,0,4,2,1,2,7.25,7.08,86555.18,3,0.83,3,0,72.0,116.72,9,2,0
22,1,5,0,4,1,7.51,8.98,110271.25,3,1.0,2,0,80.8,61.13,0,0,1
30,0,2,1,3,2,5.66,7.66,149086.61,6,0.681,2,0,73.9,61.98,3,2,0
48,0,4,0,3,1,9.64,9.83,121829.93,1,0.814,1,0,96.8,20.17,9,3,1
21,1,3,2,3,0,1.38,1.5,105809.95,1,0.404,1,1,83.8,121.15,9,3,0
23,0,4,0,4,2,2.23,0.73,113599.25,5,0.486,3,1,84.8,39.16,6,0,0
43,0,4,2,2,1,15.08,16.11,143271.39,3,0.943,3,0,96.1,64.66,8,0,1
46,1,1,0,0,1,10.81,9.85,138537.66,8,0.542,2,0,70.1,32.92,8,1,0
31,0,4,2,3,2,13.31,13.13,176649.68,4,1.0,1,0,88.4,20.09,9,2,0
22,1,5,0,4,2,8.96,6.69,112115.46,2,0.967,2,0,83.2,102.35,7,2,0
48,0,0,0,0,2,13.77,15.27,154074.91,6,1.0,0,0,88.4,81.79,9,1,1
44,0,3,0,2,2,9.3,9.12,93382.1,6,0.764,0,0,98.0,11.31,2,1,0
37,1,4,0,2,1,15.1,17.1,137165.68,5,0.555,2,0,69.9,61.22,3,1,0
25,1,4,2,2,0,4.09,5.37,144355.64,2,0.724,3,0,82.8,149.41,3,2,0
31,1,4,2,3,2,8.3,6.96,178912.44,4,0.88,5,1,94.3,97.45,9,1,0
30,1,1,0,4,2,4.79,4.26,104703.44,1,0.603,1,0,64.5,76.24,4,0,0
34,0,4,2,2,0,5.69,2.99,129285.13,4,0.216,0,1,71.1,91.8,9,1,0
43,0,3,0,3,2,15.2,17.74,135692.85,6,0.569,2,1,76.7,115.67,0,3,1
39,1,1,0,4,0,5.91,3.48,107522.75,4,1.0,0,0,76.4,107.94,8,1,0
23,0,5,0,4,1,9.09,6.95,99843.26,2,0.824,3,0,77.8,161.92,2,4,0
43,2,5,0,1,1,13.69,14.26,121245.04,3,0.595,2,0,74.2,31.29,3,2,0
34,0,3,2,0,2,7.52,6.99,96691.16,4,0.635,1,1,71.6,75.98,9,1,0
37,0,3,3,3,0,8.36,8.2,143293.59,8,1.0,1,0,98.0,56.43,2,1,0
43,0,4,0,3,2,5.73,3.96,57549.83,2,0.549,1,0,79.8,42.15,2,0,0
23,1,4,0,2,2,3.41,4.86,65868.99,1,0.885,0,0,84.7,60.46,9,2,0
31,1,0,2,3,3,10.32,10.45,100350.24,3,0.503,2,1,71.2,22.94,2,2,0
27,0,3,0,3,0,16.3,14.8,145404.39,4,0.699,1,0,66.1,53.84,6,2,0
21,1,4,0,3,2,16.6,18.11,131664.35,3,1.0,3,0,87.9,65.67,0,2,1
34,0,3,0,2,1,13.31,12.93,220000.0,4,0.857,2,0,66.8,89.5,9,1,0
52,0,5,2,2,2,11.53,13.9,109017.37,6,0.805,4,1,83.7,116.37,1,0,0
21,0,4,2,2,2,4.09,4.69,80637.09,6,0.56,3,0,71.9,46.65,2,0,0
31,1,4,2,4,2,10.95,12.17,96036.35,1,0.969,1,1,92.9,24.1,4,2,1
37,1,5,0,4,1,13.71,14.21,168673.54,3,0.863,1,0,67.5,63.43,6,2,1
32,1,1,2,2,1,8.51,9.18,102254.41,2,0.72,2,0,90.3,77.37,0,1,1
31,1,1,1,2,2,6.84,5.58,65621.06,3,1.0,1,0,89.9,89.19,9,1,0
21,1,4,3,4,2,3.68,2.77,110506.25,6,0.956,1,1,98.0,66.42,9,1,1
33,0,0,0,2,2,4.78,3.94,121502.5,4,0.636,0,0,80.2,49.3,7,2,0
25,1,0,0,4,1,7.79,9.15,81532.0,3,0.782,2,0,83.9,46.82,1,1,0
21,1,1,3,3,1,16.64,18.14,219135.54,2,1.0,3,1,79.7,103.97,9,2,1
41,1,4,2,3,1,14.72,13.48,140216.76,3,0.772,2,1,61.3,83.24,9,1,0
39,1,1,2,0,1,5.64,4.64,213829.22,0,0.806,3,0,55.8,108.52,2,2,1
32,1,4,0,2,1,8.25,5.05,82406.07,8,0.545,1,0,88.7,45.7,5,2,0
33,1,4,2,2,2,6.13,7.16,153791.04,3,1.0,2,1,92.6,204.82,1,0,1
40,0,1,2,0,2,12.72,12.16,137024.53,1,0.387,2,1,81.7,12.54,2,2,0
33,1,4,2,4,1,15.45,16.18,134663.74,2,1.0,2,1,78.1,119.41,9,0,1
39,0,5,3,1,2,11.53,10.65,129886.11,3,1.0,0,0,77.7,119.05,9,2,0
29,0,4,0,0,2,6.03,5.57,105591.06,6,1.0,6,1,58.7,6.44,3,1,1
42,1,1,0,4,1,17.74,15.34,122342.83,5,0.953,4,1,83.2,144.4,7,1,0
34,0,4,2,2,2,12.14,11.24,107834.72,3,0.738,1,1,98.0,181.02,3,1,0
33,1,3,0,3,2,6.86,7.59,118899.13,5,0.688,1,0,74.3,170.21,3,2,0
21,1,4,1,2,1,8.75,9.6,115424.47,3,0.462,0,0,75.1,173.04,2,1,1
34,1,1,0,2,1,9.38,7.38,88953.04,2,0.766,2,0,68.7,8.9,2,1,0
25,1,2,2,1,0,24.04,26.28,172257.4,6,1.0,2,1,93.9,55.34,0,1,1
26,1,5,0,2,0,12.62,12.29,97175.59,7,1.0,3,1,79.3,85.96,7,1,0
25,1,3,0,2,2,8.93,10.0,101114.55,2,1.0,2,0,95.2,29.67,4,2,0
23,0,4,0,3,1,2.81,0.5,72725.39,3,0.772,1,1,98.0,34.01,5,0,0
48,0,4,0,2,2,15.13,15.57,165818.03,5,1.0,3,0,77.4,10.68,1,2,1
42,1,2,1,2,2,9.28,10.02,141276.95,4,0.865,1,0,49.7,96.84,0,2,0
47,1,4,0,2,2,11.0,9.44,153499.84,5,0.927,1,1,98.0,44.26,3,2,1
22,1,1,2,4,0,2.79,3.13,101517.93,4,1.0,3,0,80.1,29.5,4,2,0
32,1,5,1,0,2,4.49,3.82,61528.11,2,0.885,0,1,88.3,128.46,6,1,0
21,0,2,2,4,2,5.4,6.68,157445.66,5,0.879,4,0,82.7,140.26,9,2,0
26,1,0,2,4,1,1.35,1.08,67690.87,8,0.947,0,1,98.0,90.82,2,2,1
24,1,0,0,4,2,4.3,4.14,61029.8,3,0.954,0,1,73.2,24.42,3,2,0
41,0,3,0,2,2,8.38,6.95,77313.09,7,0.559,1,1,76.8,121.7,2,0,1
28,0,2,2,4,1,5.46,6.04,101906.4,3,1.0,1,1,76.5,41.11,3,0,0
40,1,4,0,3,2,17.44,18.45,129514.42,7,0.706,1,1,82.6,52.33,3,3,0
36,0,5,0,2,0,7.79,7.85,105390.61,5,1.0,4,0,98.0,86.21,8,0,0
50,1,4,0,1,1,7.76,6.97,161649.69,4,0.812,0,0,71.2,54.27,6,0,0
21,1,3,0,3,1,2.06,2.8,69734.67,3,0.677,3,0,84.8,91.6,1,4,0
42,1,4,0,2,2,12.23,10.06,87967.9,9,0.723,1,0,87.5,58.33,2,3,0
